"HolderAddress","Balance","PendingBalanceUpdate"
"0x290171e063f123c8d72c4fea364c7059bb81b1fa","437,199.1043246382","No"
"0xc75247c065aa9411faa30195bb84078b99f1934d","25,032.7781398645","No"
"0x05f51de33bd21abd4172634eddc78c8884212033","8,662.5676224461","No"
"0x946583b3801c703dfa042f82f3b9b3a2a9a79393","7,092.101041738","No"
"0x2759f741784741f3822de79f79e965c422740f4e","5,802.4362920403","No"
"0x60c272446755eed174a4df9e18ac12b7b647a728","3,856.4264977358","No"
"0xc4cf3cd0f841c6f5affa1b642166d157abd3d5d6","3,550.1720234656","No"
"0xaaaa750ddd1ba90df7f7e63a519423c176c4aaaa","3,094.7910495416","No"
"0x9e4e6e06efdde033953494dd72f1834a9bbbf7a5","2,798.2339280984","No"
"0xcbf8dfd98a07f82307a8aba86ef9d21da2768471","1,932.8552428905","No"
"0x914231259537fdda93cbbc77b03e26a33037deb9","1,706.8531620256","No"
"0x7ac01acf8ac1984349f1aeb10d9eb11c90e120f8","1,589.0219222415","No"
"0xd9c11bc306e4ed1ae0e88d6fca6746626fe7d915","1,332.4465635636","No"
"0xf9a1de7778b155803670f49f0341f425ca11dcb1","1,312.6264233644","No"
"0x62273b929aeb569da2e746a20e9eb64d7442d3a5","1,205.427564888","No"
"0xb09d8e80a18d023717d57d3e16020cb0dfaff04c","1,204.3948861146","No"
"0xec1081090b1673d22512c04f8f0d1f71f7016840","1,133.2303200873","No"
"0xf639f8dbe299cc36fdd04e447ad01d2dc606e3e0","1,067.0480416177","No"
"0x485c93beae4c26ceef3b7f9faceb2d771144518c","1,053.5255674117","No"
"0x099f37e90ce1fd2a1b47dea58011e655d8b6265d","866.3105149103","No"
"0x4f43c9f389ff44ebf7f3363c76250aa2ff43feb3","700.4460340277","No"
"0xd7ae5de2f4373b6ef31d1c18096629cbfa6fda47","660.6417280664","No"
"0x323b69eaaa302b940f4cafa9fb8684016959600f","646.2238198018","No"
"0x5c46a1165519ccc5e165a9830b86869ca54b21df","645.6463077597","No"
"0xb65e3faba1277bf5b9de6bebfe584457935384ac","535.6484244387","No"
"0xc7a2ec652d8273cae26a4bec91cfe30e1c83ae7c","519.4702117945","No"
"0x17ff24bdf93c5d37f2ad542f67297929e11c6a94","476.8543309235","No"
"0x725f5b2e92164c38ef25a70f0807b71a7f0e770a","466.3560070367","No"
"0x393ccba82b2ab518194bd5f4b19b16160aab55c6","403.8570054174","No"
"0x41bca16805aefb81801974c93a2cd9d6bbbdc30e","307.7223741387","No"
"0xa813f7da876fbb93c2748e3c16f0bf805199f0ad","237.5756956264","No"
"0x353b4875ec7911478d264cc6dbe69d4e6791d7fc","201.01072118","No"
"0xb79eef3fb2635fccb15edd68f540f28287384ee2","200.2504745708","No"
"0x3754fd5ec997c07ca528bb0bdcb0b4f5b93605df","190.5020802639","No"
"0x4597c97a43dfbb4a398e2b16aa9ce61f90d801dd","174.6315882956","No"
"0x223929c42ca7ec0b30a7424974012a19b85ddc7a","171.8776079935","No"
"0x9805a6bb703c2230702190fbd92b50003edbf731","167.9945652176","No"
"0x00fff7e689a4ed9668c9207f55c8d68bab1cb507","144.8679342772","No"
"0x4ff4b58a783b3d50927f16b2b1562f06f5e023b8","134.5613589434","No"
"0x1e5e4b0e49ab05541a7f2b1f9fa7645beac96814","132.2424074105","No"
"0x5c59015ae9c285832743ef780bc6f7e3d593855b","125.2172656321","No"
"0x3b34d0edcaa44cf2124f84dca06589789ae8abe3","118.4366815935","No"
"0xcf60582072e14058173cdbe8e789e7dd96f88519","112.5720292179","No"
"0x5c4a7ed0908ef825b4cb8e4a7206e47312f505b9","107.8441037322","No"
"0x3b6a66017b75f04e55c73664dd6a9cf2c8027e0e","106.391201841","No"
"0x2e6f71782df39331d052b26c927656c1b58f0972","94.5967597796","No"
"0x444c7250fe2383faee9bf8c2365c9b3c94eaf7ce","79.6486809593","No"
"0xddc60d163015cf5ca1369d557a2ca1cc2de1f1e3","71.0097586888","No"
"0xd73405af9eefad3e5ad6de1f8ef7ec709b0d223f","69.9034303784","No"
"0x5dd57766fdb0982afd9ca2eb5064b632622bcfdb","67.6315022587","No"
"0x21c090337497bb81cbdf9cb7ac893fbab4aef271","67.418442595","No"
"0x6eaf4aacf63b99d75fe9316ea247efdd8f131771","60.5843859266","No"
"0x9b31f9017f7cd97f2c775ef237ef9be79213c6c6","57.604604779","No"
"0x870904625800869e97600eb281d8a7c707788be8","56.9740459032","No"
"0x82ee52cf4e793926ba930c3b8e19735fcb83c748","54.2679852445","No"
"0x5d4d3fae4d0282fd8a558b5f42ba700974cbfd1a","53.8804204334","No"
"0x1a79121f990dea5fe6640cb0f9618d45c4820a78","51.9624827631","No"
"0x5eff3ff8e30a9dd1b9a0e5e29b083e550462969b","50.558251371","No"
"0x9c3967dc0e688554a8f72b360203769108202e6f","49.9999999998","No"
"0x3d296f7fbd5a83e433802723a780a55b4ebba7ec","49.3655208739","No"
"0xb5b111dcd99eace6fee46af156f47549ae5f6875","44.1365705088","No"
"0x72353d86f2e6410c8bb05d5f8c9dafe8436f1ee9","43.9041759658","No"
"0x7a1eb8c369ac624209e256e9336176167aff6dcb","42.1124654048","No"
"0xf441cd4c5a583e52d494b63196041b89293f47c1","40.7509152799","No"
"0xaac359589d3df5c08e1306ea1d7e0c909b2ae69e","38.1615291614","No"
"0x31c308f2a1fa6b966861110abf10effe3a480242","34.5453139525","No"
"0x589343722a6872c9b5607943ab45b0a7797cd3f3","34.0421378908","No"
"0x17097e61b1412ab67cf2cf784497161b5d5f7dcd","33.8669869987","No"
"0xddfb359aba6ae76b22bd5c8be622949329103c46","31.909322789","No"
"0x275ac687ea551b5d7489ebec79b9cebeac70da43","29.2167043275","No"
"0xc6daa92ae494acbe2bfaab57f60db8535bf2400f","28.0428282672","No"
"0x5174903ecb459c8b291f340169e5d52946380155","24.7731113901","No"
"0x8e43029e8865bdf09953a57856096b6964c268b4","24.18481336","No"
"0x92c5245f1ac61d20a16abe9e09f1396796db20e9","23.0294736415","No"
"0x897a1fe2ac06e575fae284825d25dbdd09699765","21.8913768757","No"
"0xea897e018fe007cc501cea8bd89cd73ca47aac06","21.2102644575","No"
"0x341396d458060aba2ba7ebf1aecf2aab7aea878f","20.7836483045","No"
"0x17a4e69222cf398a664aa1b286ec1e642cd1802e","20.6459316308","No"
"0xabf3758490d7371628529c3debcd5d4cccf1870c","19.9930053349","No"
"0x6075e2f214d8ea676ab658bf867ea8dd9d30628b","19.6783434222","No"
"0x5679d808f2734f8b09f26f4cb0a7fb0439dbebfb","18.8572824724","No"
"0x0aac6fe840d4da1261f275562ae33d67ba6869ee","18.1316845414","No"
"0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02","16.2444812683","No"
"0xed7afc749ddf04b8741be46df8b1caa8f7e58495","15.3365130955","No"
"0x638b40a8e64cda8a41957ea4eeea213d2b0da55a","14.6734476963","No"
"0x451248229712d6f207ff9466d8d3a33cb59d103c","14.3427672807","No"
"0xce86f05a3568fc973c51c3cf76850df456391f14","12.1130279396","No"
"0x031e38f8b6b1076a851aab4bde91cf9cfc91ef62","11.1426822945","No"
"0xa1a608a3c74f38b2162a7d78b960f2181a00a9ff","11.0296043735","No"
"0xde39766d72fdf683a3fa3abdf57bd24ec071f2c3","10.6221192921","No"
"0x31637facefbb72ba93679e282378148d18bd4276","10.3008018561","No"
"0x70874f7648b34a2896e76516e17529a3725555d2","9.9763473775","No"
"0x89f39f7bc269a6972948ffa32ce1537ea68a8d4e","9.8958681152","No"
"0x17e54b71e6f745b7275a8b2a3772d71fb268d7ae","9.4999999998","No"
"0xc8332131adf037bf933ff4d885a41bbea987bbff","9.4979253557","No"
"0x6caf2cfca8600e86fdf5b4ce3bf510103479be15","9.0793010639","No"
"0x72079a3fd98dcfc689446f8ad15ebe75bd0e9f51","9.0510177242","No"
"0x7fb7c68da5b3756f01a6c7b945f5bb53411029ca","8.3288827463","No"
"0x7c9352cdc3304ad0c90cee2a17fe6fa49233fcfe","8.0602256005","No"
"0xdc75af658c86d79b0fda3cf376ca5b16413b40fe","7.2085726264","No"
"0x06d2ab1ed0c25b0629d277afd6fd928d232d41b2","5.680276597","No"
"0x23bca3f361c89a4da94784dc26b70dd04b5558e0","5.6127674332","No"
"0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f","5.1522413163","No"
"0x7daee0d1a48b896fd88b346beaa846a1c97fc37e","5","No"
"0x17c19aeff4cabfe76633a20e6b0ed903df48dd56","4.0570837488","No"
"0xaf7d1fb1b94f6dbf258a5746e9f78dfbc00d41d1","3.6268153484","No"
"0x460893acbcea3b23fd0cfa8346e49630ca8e7d01","3.2202901415","No"
"0x8c6fdbca2070590d7f2ce5b2c1ed1c305d968e5d","2.8068677471","No"
"0x809fd615a59c94c3a7f75e361e0db4d847d80306","2.620216632","No"
"0xee9cfc4ba316f092357d8621bc4730bdf36f24a3","2.4026639624","No"
"0x0535be3f20dc2bd4cd772f1454631c3b780497f1","2.3742215512","No"
"0xc11ecf0bfb07a66f60b4ae62d2f202dd6dd1a781","2.0959394407","No"
"0x0d7e2e374b20b2207615b4ecb8c16300e1bf1861","1.730442908","No"
"0x0a75e0c413bc8df71bda8d583077367aa9570703","1.5170608872","No"
"0xaafcdf5585e8d561689859f52bc55193a261bd54","1.5049879483","No"
"0xc2bbb7b00f1d41c54027e52c30dd0b12348ce26c","1.4376902157","No"
"0xaf24ecb3912d154ce9f35eefb21452f0dca31c5d","1.2408431902","No"
"0x8e6987d009df1bf4ca10d15daca31fe9936fadd8","1.1806732173","No"
"0xb1c398ddf9f45eacdb42487347950a54cb0fb02f","1.1615120003","No"
"0x0a68f81fe8c23cf19fd0f90be3734f68ff2ef451","1.1118959736","No"
"0x23598f73b9fbd281ba5646e59ad49d04456152af","1.1038186893","No"
"0xe3743e1fed8bc243961cbd29a6cf1aa48361b0a9","1.0743428292","No"
"0x2142289538ccc606e60242337a0541845047adde","0.9945652173","No"
"0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15","0.8978885046","No"
"0x16064d4aa19bd06f7dc6579365cbb27f92857b2c","0.8905076354","No"
"0x2514fdc31c15917c64b014f070bc374d35558a58","0.8280732615","No"
"0x2d1089115081cfc0c6fc3525630542a76d80442b","0.7990390378","No"
"0x4f4335f5ed85e2ba67e93239755da2884e3c41ce","0.7950714876","No"
"0x5a61dd9a663a868144660f5fb7dc8db68f0500fb","0.7811535201","No"
"0x6ed76abc8246ed029c529a31a1dbf4dc2cb25246","0.7495586409","No"
"0x71e7d05be74ff748c45402c06a941c822d756dc5","0.7210506867","No"
"0xea91b5e687a490380c52d264d5d36558d79f4188","0.674456664","No"
"0xf4de3f93ebca01015486be5979d9c01aeeddd367","0.6288649182","No"
"0x5568d637aefe29d939a724f64e0515b238353bfb","0.6144513055","No"
"0xe9de12edfd5d83129363ef9edcf4b94bf6c66625","0.4840775201","No"
"0x0539239d5db086bbef5d97b265dd6882605d5f14","0.4776695001","No"
"0x1f2b318c4633ff3038e812b1fe331f62198bb23d","0.4776658251","No"
"0x6bc08ff625fc4841f1e15775f06a1cf8a04027a8","0.4776495049","No"
"0x1753c24f1894d7fa77e424ad997d147029e5ab2a","0.4776399999","No"
"0x8ea6aaf30b7338b97730a115a7586ef4d946c052","0.4776299999","No"
"0x59de2a1981e1e7bd9e50a7a5651627fdb756c8b7","0.4776197758","No"
"0xd764a420f474a32739b7d9cd04965876c284a582","0.4776099999","No"
"0x2a897ce8cd3af90bdfc52fc6da100c2541946a0e","0.4769300734","No"
