"HolderAddress","Balance","PendingBalanceUpdate"
"0xd22da948c0ab3a27f5570b604f3adef5f68211c3","329,624.7211836463","No"
"0xb13b281503f6ec8a837ae1a21e86a9cae368fcc5","70,560.4690466151","No"
"0x25442adf37379be90ed1f7fccd9c9417b10aa4dc","58,621.4362935959","No"
"0x946583b3801c703dfa042f82f3b9b3a2a9a79393","45,254.1171996782","No"
"0x4f4495243837681061c4743b74b3eedf548d56a5","42,941.3339530476","No"
"0xd9d1064e32704bdd540f90d3a9ecaf037748b966","38,090.8072296533","No"
"0xa2d7009ea7502cd796d174ffaa7e26ece8edeacf","29,096.3842868883","No"
"0x34fc04fa7e8e142001aaeed25da8cf7dd887a5f3","25,900.3115844723","No"
"0xf6437ddbc990d5bf4f8c681211b33a7c413d6b63","21,664.2700035646","No"
"0x5daf7f80cc550ee6249a4635c3bb0678e94d3867","20,045.7126898758","No"
"0xc75247c065aa9411faa30195bb84078b99f1934d","19,639.1610954997","No"
"0x73197b461ea369b36d5ee96a1c9f090ef512be21","17,374.6878184031","No"
"0x6bb200b706ffa1665127877a11588221c49d9eed","16,292.502953152","No"
"0x460893acbcea3b23fd0cfa8346e49630ca8e7d01","15,465.5919107804","No"
"0x104a1138259d043e067448cc7ab3d8276cf4ed6c","14,677.2790758832","No"
"0x8f7f208f38a4362e6fe6112b720630f93bb608aa","14,637.4763243491","No"
"0x04ca84c094c85f6fdc8ab9a1b3f696e13cf1432e","13,669.8937026373","No"
"0x3bf908c1fd3aa7880a933eefeec9ab00658c6083","13,257.538518356","No"
"0xbfa0cc854b31031a608c10e3abc41b194dfc2c9a","11,996.8614605198","No"
"0xe2479ba08dfa7677579621c5a72a4a24ef3ed9e9","11,821.0342685872","No"
"0x61197065b4fb6a7c685588fb09abd27cae27fbc0","11,000.0016681492","No"
"0x56af52a9611afda072a73afd0e1ff4c4e35ee94a","10,870.3360595799","No"
"0x6fe25b63b1895baa80818af56e4bff9b313280cc","10,749.4517440462","No"
"0xcd259b158975bfce45b5eddbac922187e8a13471","10,498.7275577564","No"
"0x4f11ef30044769d1824f465ba5f5928af8d3b10b","10,001.5325613842","No"
"0x7749ffa8272cf50f614f8650b81589557eebac18","9,724.8519623814","No"
"0xd7791f97fff24b0902d3989e0d8e361a97ba492c","9,641.9852757554","No"
"0x7da0541784f4a2559a59e97f2744fcce4f269c6d","9,490.2752989414","No"
"0x521e6135e9179fa93a1c05f0ee8c3f289e6c326f","9,202.0842143036","No"
