"HolderAddress","Balance","PendingBalanceUpdate"
"0x13c61b2920250ba023c29a6531b8afc45a4555bf","0.56422979","No"
"0x00fff7e689a4ed9668c9207f55c8d68bab1cb507","0.16578667","No"
"0x00f18ccb682d2b6b935a3bbd3f1d237d263e05c0","0.15131983","No"
"0xd71f5440a43c4848c79bb2d001c6af127eaeeba9","0.13621656","No"
"0x8469225557e75f90b0fe147949a598de208dfe4f","0.11178936","No"
"0x82dfd365d7a8c7ff3652878ac25528a6d3b9c346","0.1024935","No"
"0xb38a90f14b24ae81ec0b8f1373694f5b59811d8a","0.09926577","No"
"0x4c5f99045af91d2b6d4fa0ea89fc47cf42711555","0.09204654","No"
"0x444c7250fe2383faee9bf8c2365c9b3c94eaf7ce","0.08692725","No"
"0x72fdb7c8f9edd62df5e6fc4f269f2bb7dbc34909","0.08553383","No"
"0xcae182dd1fdb1189cdd415b133f80c9ae67b37b9","0.0844326","No"
"0x870904625800869e97600eb281d8a7c707788be8","0.08006486","No"
"0xdcb009b9ce67efe051feb4082078e7dafb4d18c1","0.07449355","No"
"0xdd4ebebe197ca16dc2042414e3b243ab265b0d9a","0.07281898","No"
"0x0aca5fc367647d0e32d96c9372475cb001d7b956","0.07057562","No"
"0x545d1c90e6d7e80248fc3d6cf6d6e70cb9f2c18b","0.05811235","No"
"0x61b600a9f0e4b53cf3f6a837c2815964e2291f9c","0.05455289","No"
"0xe71f2708641fb72fb9926ddc4434bab9c6427570","0.05081088","No"
"0x724068a5554e8469ec69333bf940deda895ffb9d","0.0502833","No"
"0xccb3d79521602342ce2f03f523f9d1a645523cd6","0.04094137","No"
"0x54bdd8fffe95312c507dd748d4e1a177c2e2fb6f","0.03809254","No"
"0x038baf880ab8087046c467bab5447df99416bb08","0.03694775","No"
"0xa4a1a559f4fbd743324e0cb0f143243d342c3e50","0.03525478","No"
"0x245f18b5d23d8a37412438d6c2c81efbe59673f0","0.02880813","No"
"0x2eb3fea566682d5dae7bb3473d0e4865853f32e3","0.02708035","No"
"0x0cf22c03aaea107b1cd062dc2a25f38ee0bac7c7","0.02386985","No"
"0xf7dccf6b0696ebda1d55e17f424fae131efe7e9f","0.02276646","No"
"0xb4b0539a9e2cd2262bd0d3f5111e76c482dc1eaa","0.02136452","No"
"0x92ca0f6c5b1def20022619c2739b84c9ea67ef5f","0.01836262","No"
"0xbf0b56adb8466f8332b67c2e39325c6b9625861f","0.01682192","No"
"0x9186ddcf3b5243984a9a94e4dfa44f70e087048c","0.01542174","No"
"0x740cc9ed6dc186ab44fec96390bd29bcc462557d","0.01197331","No"
"0x94a97fef4d1bf4707cc1679cabbcc100d9a63439","0.00919549","No"
"0xff70e5d3649a5f88f2230e7a6433711b00980f78","0.00916755","No"
"0x69765c27d7bd329da4437c97437d7b57efb077b0","0.00873659","No"
"0x1f1fe608250201ff2feae6c9aaca8cf57eda9799","0.00860583","No"
"0xaec2e45d86f35ef67cf99555f056e6b640779a03","0.00806607","No"
"0xa82a298b45851766dfc061467d11779cd3f53178","0.0079074","No"
"0xab2ee82b7f8fc513976b74683d96c6c32d81c529","0.00790471","No"
"0xde656c6e7257401c9e548ddd30c2b4bcdc8744ef","0.00757547","No"
"0xbcbbe0af190fb5610ddb7f3bb04b35c3549cd452","0.00749678","No"
"0x743c1260f1c6264106b58110e0f853fd01ef41b3","0.00692923","No"
"0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f","0.00596906","No"
"0xa0170b6935fef8ff2c514703fcb2c597a9bc2076","0.00457291","No"
"0xef8d3cb102afb33577d68d6eb3ef6e1a46f4731c","0.00444458","No"
"0xefc16bf090223693bbc7da78509b8335d381b7ef","0.0041458","No"
"0x3a931d5cf0d99a8fea48e82169c376996a21c600","0.0041059","No"
"0xf25d872803bc862da47b57de7e8681e5f9c09968","0.00367062","No"
"0x8bc1f4cba6f416aef8f873b45fcfc3c049f28d32","0.00343138","No"
"0x79eb71c1592a678c234ea221ed3fdc10cee89f88","0.00329507","No"
"0xb75448e9377148ecd06dda577aa3dce3e9b11010","0.00288523","No"
"0x38353624b2f05c515c1fe5ffcc1a92b24c409cff","0.00250889","No"
"0xc023df1157480f595d53b681357de50bdd1cd02d","0.00211498","No"
"0x5f4bcf4f005a62e1364260bc115bbb3a2dbd622a","0.00204772","No"
"0x1708e4788af2b97d278dd4c2cb9726e8f4a643b3","0.00178735","No"
"0xe35f6e47a31334c01cff68b508ad8b3c880b073c","0.00174166","No"
"0xcc42b327d7258bd6e2383558d77f10b277c5e991","0.00162825","No"
"0xd56abcc233bae74784afd714ef43ceb01456e789","0.00157296","No"
"0x9282c491cbf940e66fb95e0ee52a1bdfb0dd4e52","0.00156741","No"
"0x9b022055a0544dac2d8011835ad19fa4491738c0","0.00148775","No"
"0x6a9d0b4bdb3872973224d6edc63be6446e2a366a","0.00136645","No"
"0x03ec4ec5810c3dfe15b706dfd7639b9565f30414","0.00132756","No"
"0x21c090337497bb81cbdf9cb7ac893fbab4aef271","0.00131058","No"
"0x5b4966e97fca148a302d3bcdd9158992c3efa4fb","0.00130676","No"
"0x67dbe564f4c992c9c865c88783706647b8803d04","0.00093422","No"
"0x93b5f3681c605f99aecaeea14cdd754e73941730","0.0008632","No"
"0xcef8dc1f4b3d3ddff9d6f6b3bfb33ad421f34de1","0.00073537","No"
"0xa016ecf1256169f39d3a1d7842f1c87562e2b513","0.00071591","No"
"0xf68286ed07c3cb2bca94e6a2caf1b13f58f2efe5","0.00064318","No"
"0x5575a575c5f3d0ab7709f933774546e109900770","0.00049503","No"
"0x78fb7862ddb9aa44295c6abbd07063b468788dc8","0.00042598","No"
"0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c","0.00042378","No"
