"HolderAddress","Balance","PendingBalanceUpdate"
"0x84fb1f90836f7962011576307476d474874c4d68","90,411.006695","No"
"0x22b1a40e3178fe7c7109efcc247c5bb2b34abe32","72,623.603076","No"
"0x0aa60133b2604851f3c57067cfac2fcc3aa7fd7b","20,120.508623","No"
"0x3a931d5cf0d99a8fea48e82169c376996a21c600","6,289.46628","No"
"0x6ced59a8d2da7bdf3e6c2920f632421a8f3c34d1","5,002.790215","No"
"0xa52aa5964685cd5df8a03cc9cd73bc45479a99d0","3,349.966752","No"
"0x485c93beae4c26ceef3b7f9faceb2d771144518c","3,052.700139","No"
"0x4b7f91ca3335dad22768ff15a732e6cf8382db4c","1,731.416893","No"
"0x94574cdc74a425932c1251e3d8ea9735951dc295","1,304.801509","No"
"0xb1e00bb1f5a13cdc095333bba8105052aecc12ef","1,014.493346","No"
"0x18697d36280444d5acf5ae96ddfe0e5ed2abdc6f","1,003.484275","No"
"0x17ff24bdf93c5d37f2ad542f67297929e11c6a94","1,002.592865","No"
"0x5c4a7ed0908ef825b4cb8e4a7206e47312f505b9","1,000.4194","No"
"0xbe19479be9ec4f78d3da0e92ef640c8d6354f7b1","913.455049","No"
"0x4e6b2972cb13882e33f0fa1e7666fc7654be07ad","722.548866","No"
"0x76f1f0cea0e6326c46fe45da969e77589ebc359f","584.864893","No"
"0x5c079515da5b3c36c28cc2d7b5984d2a23ee4e30","300","No"
"0x3466acc8d2d7064367b837cf6eefac9659d3ad2a","259.013458","No"
"0x2acc53931227897845f311f3937bd4a1319d8e56","220.73575","No"
"0xe548e932953f8ef750fcdc3fee16cb7fe082d3d5","153.124279","No"
"0xaab2885b4a57e83dba3ef63d7bd9e5508712a17e","122.932562","No"
"0xf111fdeeb538e861a92ccc720c769688e1d1882a","62.49706","No"
"0xaf24ecb3912d154ce9f35eefb21452f0dca31c5d","54.646404","No"
"0x9f3bc3f85670e67da2d3c0c54387eb15b1bd64ba","50.47","No"
"0x4b0a162d98be3025063fc888a59612dc7cd1c5b8","46.712103","No"
"0x05f51de33bd21abd4172634eddc78c8884212033","43.070844","No"
"0xfd8c384268ba06851f8f155352ff9ebf30c83454","40.82355","No"
"0xce86f05a3568fc973c51c3cf76850df456391f14","34.030193","No"
"0x1cc403cfe45e0d7780f2280b3033933ab1f2cd8e","27.426394","No"
"0xd9f80cb81164163a90745477ce1b2befb246a33f","27.025946","No"
"0x743c1260f1c6264106b58110e0f853fd01ef41b3","20.692461","No"
"0x1d8b6fa722230153be08c4fa4aa4b4c7cd01a95a","8.006375","No"
"0x6fa5c21fa08558444c8cb6c7eb8cf9dfcdaf5a8b","7.976309","No"
"0x051a0e3e0fe5783f7c0d5c1003fc121cb9981183","6.07371","No"
"0xea91b5e687a490380c52d264d5d36558d79f4188","5.631898","No"
"0xff4f72c409881f0e018d1a6e5ceae2ca2f3a4860","5.498222","No"
"0xdc9e1af9869b8771a9cf3b2d17264019c6aad2c6","4.740613","No"
"0x7651b759f51bc6f0cca09ee97351b7a0ddd80ea3","3.949065","No"
"0x7ac01acf8ac1984349f1aeb10d9eb11c90e120f8","3.662612","No"
"0x78433b046d37329f56b359014b3ca8184c6efe09","2.005192","No"
"0x98891e5fd24ef33a488a47101f65d212ff6e650e","1.860002","No"
"0x7609a4d02dbb6f892f837de404f1a0fdd23c163f","1.658644","No"
"0xb823893e7858f36f8387bb74041000210b055642","1.487663","No"
"0xa885a2d5b743035386f70500a865c089d3b696d9","1.440802","No"
"0x275ac687ea551b5d7489ebec79b9cebeac70da43","1.179912","No"
"0x525077ee77fd4c34d0a1147648d59c08c26704e2","1.146331","No"
"0x501c2cae71d9568da1972b03f27ed2d527d20ac1","0.99415","No"
"0x9b5b4a01068c12958fd21e0640723750c14911d7","0.78153","No"
"0x90653c8000a28cec60ec7f94020a8a0c1d444aeb","0.390934","No"
"0x52720aebbebb26814bbbb9b315abefcdd9934b28","0.28041","No"
"0x4567d9405872d3df0cd66e156d12cfc5be53d67d","0.230748","No"
"0x603bd78e189ad028ee5ef73f50c4dfc0fb29b3a3","0.050269","No"
"0x35eefacb5d72f7daaae7ff7636520adbf6ee22d5","0.035","No"
"0xd0f231e07b9e641fd937b5abd2d5eae690b646f0","0.028515","No"
"0xba3da85e2b7a55b46896ff1009e89238364b1f7f","0.024034","No"
"0x70874f7648b34a2896e76516e17529a3725555d2","0.019851","No"
"0xb45256e938ffb1de78d8ed5d807b929d9b28b221","0.016079","No"
"0xddbf679d6332d9e5b409865b9671d1927255b52a","0.015","No"
"0x64cdff6aa0119b096d557f75b593fdce095879dd","0.01","No"
"0x2053b759e60a1c655e918b37c92ddc86f1f52587","0.01","No"
"0xaf96ce1e1952b2308eb36515867e041f32490ef4","0.000002","No"
"0x832b21fa3aa074ee5328f653d9db147bcb155c7a","0.000001","No"
