"HolderAddress","Balance","PendingBalanceUpdate"
"0x841ce48f9446c8e281d3f1444cb859b4a6d0738c","9,109,210.407047908472703768","No"
"0x989976e7101c21e28e379d0f4cfdc2960df6f206","1,908,402.552903257977856079","No"
"0x7bea16f5553eb3dadb23860abd29c55dd891ff70","399,999.853922967458999388","No"
"0x8ca870bff8479fcf3b8bbc1006bede10d23ec52c","399,600.586671455138923171","No"
"0x87eab4f119113e0e5920288936ad94c307b4849a","379,999.925154906319624491","No"
"0xe5a6ea7214df53d14b8bb4ea8967f80feaa55011","370,891.465565790557718917","No"
"0x429ade16189ca794411e225f32eb870d02e85a48","200,000.304478897769113282","No"
"0x2ea0963ff33e420ad67cd736d1f44cac2fd4adee","199,998.584880591951646599","No"
"0x09b016cabd2b63b8091f98acfb4b9e7ae586e91e","149,999.718224719634549609","No"
"0xd2593c7642f5cf0635f280be8d7eed89a491e866","139,763.659674227482181842","No"
"0xf499dcdcb32dab9e958ea9e58ad07ac2fda54bd2","122,000.402344269049262839","No"
"0x32a992c20e0c0d5d556db339c3fa5eef3b5bbd52","119,999.48704283513808901","No"
"0xf50d2fc5c03b14a4e47e22a27bbbf6eaa62ef13f","111,600.431833067236227704","No"
"0x7c28a20a66d687107dfa810566f237fb3810cbf4","99,881.755673084676384524","No"
"0x44b82fb384a139576091f3f362fcdb179f4e9596","89,610.118269128629576643","No"
"0x2c30a3a1b2cc998a95ab60cef376fcc7d8f0bd9d","78,999.934222387388698753","No"
"0xbc4f0de409fa456629d5b5ca23365fdad60a0c9e","59,938.638998700236829126","No"
"0xf8158eeb1b1580e70f665489e9f74f728ed8d6be","49,940.753365048934846233","No"
"0x9b370d8eb68a7a36535cb4c2d1996e95f74d4a3a","48,629.853064940917308977","No"
"0x1c579ce7791934d2b12c16cc748f412404db477e","48,099.775527799117341935","No"
"0x0d86825c4c1ae7cc1983ded98ac138748490f0ac","43,728.824683262989171641","No"
"0x347c9269fc57997f6950e0b19717a6dcfc744993","39,999.823864880749621528","No"
"0xf3a72c7b7feff43dedc4d428fb6454176e1aa5bd","38,414.95179921685133003","No"
"0xde6c44f9395283b58f17daa08b1ca70c32bb8b0e","36,510.169267663819790616","No"
"0x19ea274affbb1c0ff518396afe428042c7d6ab44","34,954.785569859158319284","No"
"0xfbd7c645d01eb0f231352288e1e121ca8053abb9","34,810.782081750789164341","No"
"0xc9124462339fee9d10cf0307bf0d247f072c6c9c","34,777.710679788493101789","No"
"0x271d8e39108990e89de0aef49275a194269b58c5","34,272.330668743451496755","No"
"0x611457cdaad2e34652d0831eeb617971fe6cff13","31,950.111733029234328066","No"
"0x2806dfa6df41c7d277b8c48eb8255fcc426b9e23","30,786.117719796921930854","No"
"0x3ddae5ee01e1cfd59a7a0fc4005356c42637757e","29,969.831677614256941731","No"
"0x43e8b831eb74f5a2dbfb7e6330c76391f7dc66eb","27,614.634215598198963613","No"
"0x10d547ccbee740c5aa939081ebc4b3380dedb967","25,269.145641905617282707","No"
"0x7ce3ac7a7b4d1157a7004abead8cd6e24f5c52f6","24,999.776122472571339299","No"
"0x8453fdb2abe212b5367d196b4fd0a1a2596e164c","24,044.821078021255069151","No"
"0xd67712c564233d3e88a5c98c936b055cdf81a87d","23,848.777475470688223748","No"
"0x8bcb97491548aab1aabe39f5fa7d37853b1a39ae","22,722.861538157171420726","No"
"0x889cef5559eb8b6a1dbcc445fb479e5530c37d8f","20,177.735045862368578721","No"
"0x05120363ceaa374e696f9148a0c9df15435a2434","20,016.722835776960842892","No"
"0x52ce75225e88efda375cb9038812d538687f4d5d","19,999.591024154590270746","No"
"0x3ee6763f0e75247128a1b3f9c417354b577902b2","19,979.534770563857943711","No"
"0x869f1f5ef781a3634fe4ab7f187dd1f9f55eb1c7","19,946.037914401851379618","No"
"0xaf9afac30f5a5d8b6a609a0567c4cf0a513f10f5","19,318.203557893833956121","No"
"0x14dcae28535c4ede02d0b7ec4d5257f7326e0bf9","19,276.764453666805381705","No"
"0x993956f20921c88c470fc33195ea810b40c90b92","19,171.95608049642930929","No"
"0xbd0a14ff7e4c4f036ace6669dff48f5b0b343bcf","17,982.005623261109266802","No"
"0xfac3d2501de923138bd48384818645def6d802e6","17,055.657493240042082232","No"
"0x6cec4f250d24fb58b1375f9fbb47f1b1e435e070","16,780.235175300773146043","No"
"0x523e4b3530c03be52497b2aff40a76ec6d0ca6c2","16,382.117231066982792219","No"
"0x405237f3b039be62692bffce30badf965f7f5e39","16,002.35482264496489733","No"
"0x1f42a9185fa9101fbb0f38ea0aabe925efbcbf31","15,674.321609582711667078","No"
"0x95ffecf55129612dbf420b0ddc3ed8f55329b39e","14,985.649266882367215073","No"
"0xde902a53278b301b9ad5b1010b9e641bc90e2010","14,984.808068923956191019","No"
"0x204d5b48959c0ea219e60bd454922b912c88306c","14,889.909641901051199994","No"
"0x684ca620a83a3dc69eac6c0f81646965ec381828","14,884.526739151204859778","No"
"0xbff5935e4c834f2cbe0826c67382da7aa0135920","14,021.416620307054172391","No"
"0xbac82590764ea9833ce592dc0c9ce2e361d2e21a","13,619.750070322413695746","No"
"0x74379052b4570892b0c3de06578ce77cf29218e6","13,096.595661813536382075","No"
"0x6aee6905ee7e820405a59665540a6a338b5d3633","13,081.655397408942862501","No"
"0x184053aef84c3f13a98ffc52e1f80c9020018fce","11,999.935820163625673796","No"
"0x15a18e4a8a09cf95515ab526903aa4941db39d4a","11,990.753348830517483339","No"
"0x46d9b4e1da87de2bb3d8bc9abfcb75aab44d19a1","11,984.391440376920857065","No"
"0x95cef13441be50d20ca4558cc0a27b601ac544e5","11,967.583141561356834347","No"
"0x60e395edb1c754c0841e5795c9252c906907c76c","11,636.721004123312298556","No"
"0x1450c470002d65f466167756979c6e1037b75c02","11,522.040238654972851007","No"
"0x8132fec10c4afcbc769cbddea95f8347b2f099b2","11,122.324262046855418406","No"
"0xb1ac758f4901f2d2c992e115eb595c841c979882","10,999.205349978157987841","No"
"0xcaaef1194e57dc395343e01e184d0bfd2eafb8c0","10,888.914117537799711048","No"
"0x046dfe64e597f607801b4812fc2ea61abd27f13f","10,873.867273415415655859","No"
"0xeba56ce9766339c3885447e5406d83c52623d319","10,846.081857092781774644","No"
"0x0812fe132c226d0322c6fcb9b23191a4e9918ee5","10,827.254435471482503476","No"
"0x81a72aa945f90142370fc7e3addf039ebbe2ef19","10,412.481350709829641438","No"
"0x8627961b176b57bdcf1de3de71105d1559d87b68","10,010.011677787908735364","No"
"0x7d6ad0f79c3a3bfd67e53bcd88671b27b0aa3f61","10,000.744127247146274982","No"
"0x0ac904c17391b06b2e997279f9669c9acd4af5fd","10,000.320354629096659185","No"
"0xacf2181e54d492f385d40d13cf3b477495427765","9,999.914007675903181089","No"
"0x77eba80b91ef94a1e85e3bb91bb31a27fd28f248","9,999.785435944289106624","No"
"0xef73e64b90213727e575b2bf6451fedf6f632d43","9,999.779369612157548277","No"
"0x5ab42fa4a6fbd0000831e0f4a80ebb1b8198546f","9,999.717528081100586363","No"
"0x5515ef888ca4b86bd648562b8725e03973e21b51","9,998.554888392825762198","No"
"0xc75441d085d73983d8659635251dcf528dfb9be2","9,989.797652164938398621","No"
"0x7150af77d564b97a556b7794347b9d0d19dbbcbb","9,989.79278931472333203","No"
"0x91701d7bf84c16833a39e2ec56bcb6b556e3f690","9,989.77381316126730991","No"
"0x6a7580159ded755844bc4fe472abd4c91472d6d3","9,989.768020880015024518","No"
"0x66f1c92b29441bcba925c07abbba2e23676b79a4","9,989.713952644583933768","No"
"0xb10e80d10ef6463d37007ecc537f6b86e0d8d6fa","9,989.697676620440444828","No"
"0x8a160f1fd24aef4640313afb544bd40e9753606a","9,989.688948690311243706","No"
"0x5ec69509e44f88b53c0f3a0f335b4d71f71c70f1","9,988.662803474271646788","No"
"0x1806b72247189250cb32d16014dd5282815a9af2","9,988.4540748776796975","No"
"0x250df2a649aaab7d6e305b134a99a32c3dfe4c65","9,988.397585125050200661","No"
"0xd589d2c94a803ce135fa44733ecc0c34e89e11d6","9,988.374122731708184517","No"
"0x3553fe5e187bd8e2bad4ef56999b17edfd18a514","9,988.328776323408541504","No"
"0x95272c5e0f8bd14ed7f79656b3ace6b06c85e5fe","9,988.325061697533746385","No"
"0x979a6639300900d8f34df31cacbab8a494ec514a","9,988.31535849730356501","No"
"0x5da04eb0e28a06798797f54deb17cc014c525370","9,988.305273557514509589","No"
"0x316a9b00f82a89be5a03d1a4f940ef2cd4f98efd","9,988.256240557295642281","No"
"0x84ba38696f4f2dbcb88ec2c5f82d24a074d2e6fe","9,988.209297902566918117","No"
