"HolderAddress","Balance","PendingBalanceUpdate"
"0x6bb200b706ffa1665127877a11588221c49d9eed","631,029.4244487054","No"
"0xd60a30fc784e364845b59c131d71df150798d66e","76,057.090391099","No"
"0xf2c1b1e95550b883842b768d1efbfc49d04f5db8","59,003.5951401372","No"
"0x6ced59a8d2da7bdf3e6c2920f632421a8f3c34d1","36,244.9601421586","No"
"0x53ad13397105abfe7adc90124fbd9468753ee10d","33,603.7640069525","No"
"0x7d8abef18dbd092b4aaa3706abfdd2da33afe62d","32,525.6487149797","No"
"0xaafcdf5585e8d561689859f52bc55193a261bd54","31,449.19744913","No"
"0xf9a1de7778b155803670f49f0341f425ca11dcb1","24,336.4404646069","No"
"0xcc28b3605cd8563e712d07067e2b105eaf9d836d","19,649.1284271135","No"
"0xaf24ecb3912d154ce9f35eefb21452f0dca31c5d","12,416.7903557519","No"
"0xc290067ef915116e31ce171097d4697da36c8c43","10,731.3614526711","No"
"0x3977b214694b3dcfedceeefac77d05b68b0aab9c","9,569.2119461721","No"
"0x548eb3c2ed719c07aca70c56febc81f678d249be","8,307.2401162989","No"
"0x609e8b1de45cce50784d401810900d5ee3c32e54","7,935.4981122675","No"
"0x485c93beae4c26ceef3b7f9faceb2d771144518c","7,846.5835899942","No"
"0xd27cece5ce8b4f6fa47a160105d842f97aee227d","7,372.6222003402","No"
"0x885b72e5b87b0589d9f071df49a746327228371f","6,661.8056394634","No"
"0xca50c71f0d9d00e7d075b3c72ee7a272e32baaf7","4,475.430699998","No"
"0xaaaa750ddd1ba90df7f7e63a519423c176c4aaaa","3,598.5471692068","No"
"0x8335459a89a17ed8ed128aa98f9af86802dacf30","3,221.8450928245","No"
"0x6eaf4aacf63b99d75fe9316ea247efdd8f131771","2,227.8519086335","No"
"0xeb4752ab56a6c2824d1eb081a6cec90dae0652fe","2,195.2338465618","No"
"0xb4a6f46aa86c02eaf9785113aa38019a16122543","1,812.0597415977","No"
"0x7323db85700a2b8b4f2125312e2c96ffd61e4cb8","1,618.8366638694","No"
"0x0c85ac02958aa3fd8e7146fa81ceac45b7e0b782","1,475","No"
"0x946fb1b69a0f53599cb685a9a12f870f280c5bd9","1,466.3944047763","No"
"0x77aaf0d268caac94a5e79bb287c64f6810f8a760","1,328.1384856932","No"
"0xc002a3e264235a16c79db4d6a5772d14cadae98c","1,076.8223821659","No"
"0xfa132038c0e29415dcf8b13dc789bc16bbd456d1","952.9109077293","No"
"0xb3ff54b7f24950945ba8f1778f52835a7ad30a7f","743.8131098471","No"
"0x41bca16805aefb81801974c93a2cd9d6bbbdc30e","660.3241847083","No"
"0x2d1089115081cfc0c6fc3525630542a76d80442b","492.6899391022","No"
"0x195c10f13d4876b7fad38c5cb60aa34c9e648568","441.696286371","No"
"0xe1aa549ea82cdc867d9226a3e1417fd493eb0f53","413.6136966349","No"
"0x08727b4a71232de8bb6a867fffab062b076956a9","412.4347709634","No"
"0x28b4c718cfee6aeefb3b9442eeebc78086e4eba9","319.326163933","No"
"0x7fb7c68da5b3756f01a6c7b945f5bb53411029ca","307.8275241285","No"
"0x341396d458060aba2ba7ebf1aecf2aab7aea878f","292.7932570876","No"
"0x2b723a2d319d777dc6d05baac17f0d160cf8365e","246.7004547895","No"
"0x70874f7648b34a2896e76516e17529a3725555d2","224.8590493432","No"
"0xce86f05a3568fc973c51c3cf76850df456391f14","221.5517466039","No"
"0x0aac6fe840d4da1261f275562ae33d67ba6869ee","219.6776709173","No"
"0xb1e00bb1f5a13cdc095333bba8105052aecc12ef","188.7541775163","No"
"0x7e884e885ac2ec3241fef4b560f7d1aaedcc0e50","142.7762158418","No"
"0x0e99ebcac757e0a42b94cc8f9b7bc3387b2b4fa4","136.1643792025","No"
"0xcb29b5728603277987acbcd94407e30786782890","129.5596477197","No"
"0x6b98039cdc4f9b22d09d81f319ad6023089b2439","124.2098185978","No"
"0xdf5423918619540f314c4ec8731e9899561c87ac","116.91424152","No"
"0x2c1d14ba13d1c7d994f88c01a319246267023609","65.737477006","No"
"0x5f45b03ecff80eb6b4d5829661fd49a241f06a33","40.6240134848","No"
"0x0e15dc807b26717f7b142fc0fa15d25f176aaa1b","22.8842271351","No"
"0xee9cfc4ba316f092357d8621bc4730bdf36f24a3","21.4807114514","No"
"0xe4f5a7d313664bd778a2b189ccd390de7336a179","21.2554944234","No"
"0xe71f2708641fb72fb9926ddc4434bab9c6427570","18.872222031","No"
"0xa0a4bc863e0ead8b598801e6aab99975dfbcd80b","14.1486333016","No"
"0xade7e5a78af756de84631a06266a59e0d3665883","5.954963003","No"
"0xcbf8dfd98a07f82307a8aba86ef9d21da2768471","2.7729231392","No"
"0x5ef108a13cdcbfdc446033fd92c7f071e1e53938","2","No"
"0x6ddf8966242ab9db856347628dc96688407b9cd5","1.0984881654","No"
"0xa727fda69189d4d91f5504675f3ada57b127c8ee","0.3660904043","No"
"0x17097e61b1412ab67cf2cf784497161b5d5f7dcd","0.1954023011","No"
