"HolderAddress","Balance","PendingBalanceUpdate"
"0x1cc00cc60f0b031bb8d460358e27ab2857a07c0d","1,700,012.356926","No"
"0x5fb392b2187f1bc04ce2a99181ac7b3f6b0abba9","599,997.735565","No"
"0x5daf7f80cc550ee6249a4635c3bb0678e94d3867","203,542.673915","No"
"0xb038e798dd142ea6b3183c87d78b12d58f65f629","179,997.09941","No"
"0x42a96c0681b74838ec525adbd13c37f66388f289","175,951.959956","No"
"0xc30b67a08e962b40f1fa0a4c1052c118ac0a61c6","140,136.105341","No"
"0xe3f59ab3c37c33b6368cdf4f8ac79644011e402c","116,033.605946","No"
"0x84fb1f90836f7962011576307476d474874c4d68","114,976.491162","No"
"0x5c3dc0ab1bd70c5cdc8d0865e023164d4d3fd8ec","114,462.229233","No"
"0xc92b4cd3a180832d785f0a95e8f38bddb6ccb7bf","110,058.930785","No"
"0x1d5cc7840a05ba39db0aad21e14df1ff09b599ed","61,873.873105","No"
"0x9108ba00f131cb1b52db441cadcb37e94333f943","61,820.554944","No"
"0x6608d5342ca0fc0acf0c334c2496f1542af1fc71","60,005.686675","No"
"0x54bdd8fffe95312c507dd748d4e1a177c2e2fb6f","49,916.408109","No"
"0xd05685ff09ce590606d08d628a3308308d8c10c1","46,792.251577","No"
"0x07e54e08f7e6ad85916ab549a9287b1134c31df5","46,191.322871","No"
"0xc8a30088c7940721c5c2f4b7db25d7c0fda6b98c","44,260.74832","No"
"0x3a931d5cf0d99a8fea48e82169c376996a21c600","44,195.908366","No"
"0xe41427e5ae4546cacb9746882421df1f74f7d55b","44,177.993653","No"
"0xbd73cf5baf12f120ee3f6c4ad82df9a12649e578","42,837.421272","No"
"0x9c3967b93589030bbdd3e14fe4942ef365e24bc3","33,863.18642","No"
"0xdde3e2024e270d6022d1bb4e8745e9dc6d82e0bc","30,001.393058","No"
"0x8bd93a87cbcd4b9353e275be9f0413b32148fe82","25,048.832023","No"
"0xedb28058c696a3bccaf205e9b30f57bddbc95089","23,398.63307","No"
"0x4e7b11e7bdc6586c3d343f54a1aeb286448bec3d","22,453.486402","No"
"0xc7a2ec652d8273cae26a4bec91cfe30e1c83ae7c","21,990.427596","No"
"0x809e21dde5226198cd3128384629d3aad9ecf921","21,672.387094","No"
"0x027ac35630e42d9dbf93db2b0e9b205c6c480f32","21,297.240153","No"
"0xa4cc91610c3ea93b4684a175a1fd967376b7b03f","20,015.332483","No"
"0x28683f7ee8d4c0bc197bc6903f2657665134cc02","17,992.982713","No"
"0x84d628bf8aee96a40d551b3d0dd3cf6d56695627","17,203.57837","No"
"0x1ae2d3c16be0e748a47a0e8dde94822268a0df65","16,969.168106","No"
"0x1aaf7ebf56b203cb69dfb010c34ed2a5be0278f2","16,601.169059","No"
"0x25ab3efd52e6470681ce037cd546dc60726948d3","16,007.982338","No"
"0xdb9eaf6512b76ddb9d9af3ac9782443e5281bc8d","15,341.555039","No"
"0x95d30549f608c59a745c3d838fc54a23d7ce3ae7","15,086.831845","No"
"0x183aec83633dacd2501516a49f436283ee5ad100","15,000.001281","No"
"0x96070153d3581a0f946c0785b58c1f7a969a5b4d","14,997.011854","No"
"0xb38a90f14b24ae81ec0b8f1373694f5b59811d8a","14,842.111257","No"
"0x26c34f526ce97c334984ab9f351b0f9dcf3f69d3","13,083.240785","No"
"0x72db890e5fa6290c4c50b11e9611ebba93495f53","13,018.67012","No"
"0x0276b2b0043e7a9db80558db409ae772c4927cff","12,700.63282","No"
"0x9a15ed04dd0a6b70e5ca6e5c7378dd049a719603","12,405.138875","No"
"0xeca882093a6d319c8dae679cd7610196a26e4777","12,183.631841","No"
"0x1aa539c425ad32235d34c1ef4457899d60e9d222","12,116.104587","No"
"0xda035641151d42aa4a25ce51de8f6e53eae0ded7","12,079.515343","No"
"0x829314f72d39fca07112274a1d3b7a8117067c4c","11,741.534137","No"
"0x29d0dde28d5bbfceb208882a2d8f291d93dc1839","10,255.497307","No"
"0xce1e3befee573a29816893468540cdd2ac0c4d34","10,003.750967","No"
"0xd7a1c535965aa05a422b44c99921371f58807fae","10,000","No"
"0x1f3cc59bff668d8de95afda249f558c2c9696a04","9,957.261886","No"
"0x781eb646c50483f413f087a4c54022e0d8123f25","9,375.205292","No"
"0x5f809f0be3bc9251cf509ecff1503f07609d5e24","9,002.980731","No"
"0x74e874e8a796ea1b968d2b740a328ccb27b41734","8,790.333995","No"
"0x9d8088baecfb4d02020c0296d51ddbc69a9144fa","8,492.941783","No"
"0xdf2b90e2ed9a77054be91aa00bd52f78a86886b7","8,482.059661","No"
"0x5beeb5db3a1d3882227852a4e04f1b692949e0b9","8,365.934663","No"
"0xeeeadb4ce3cdff021e1be65765e09acf51eeb443","8,051.044399","No"
"0x46ddec05e55550bc83cb5032b278106cd3b2104e","7,998.139544","No"
"0x628d48d7fa381f48cea3f06d94b3b8e867d8e029","7,993.805034","No"
"0xb09d8e80a18d023717d57d3e16020cb0dfaff04c","7,507.722868","No"
"0xf1eb238235c69624a02cee69e5de250f86b6c6a5","7,307.895063","No"
"0x0b6513258f0bc261c912ab8917de4ae1b891fa6f","6,572.306697","No"
"0x8d1b878509562fe8c097536e6e8da5bdeed05d1b","6,234.138739","No"
"0xb32b41625e14e55757a5d0cfcdd9768a1695c5f3","5,979.049954","No"
"0xa6e1e7eae81993e0a050eaded1958559d8d019f0","5,884.443364","No"
"0x989976e7101c21e28e379d0f4cfdc2960df6f206","5,600.093227","No"
"0x6ced59a8d2da7bdf3e6c2920f632421a8f3c34d1","5,541.164658","No"
"0x002ff07ac386d9acbc81025207ec450812fad253","5,470.844846","No"
"0xbe19479be9ec4f78d3da0e92ef640c8d6354f7b1","5,406.119064","No"
"0x3180be2947b5dd379d8570b406a837ebe20d423b","5,037.30063","No"
"0x7d066e34a299faa3a1bea3261eb006dfe13143b9","5,033","No"
"0xac3ba08b5b567c1e810b274f0a3e4a9c256955f8","5,000.005","No"
"0x58b098dca8145cfa8c8e4bc7495a613f525b0028","5,000","No"
"0xb69fc0701a948a9296e0695b51e4108873f770a4","4,999.982713","No"
"0x94e1ddbec5dd4d5ea424bf8d29681781005755fe","4,983.031709","No"
"0x2f19458b33a04aa643572838d29ac18efc40f820","4,781.266421","No"
"0x3e87f88b24e27653af62aec62507cef967aed16d","4,426.164071","No"
"0xa560993010600f86aa104b8732d86a42a0295eb4","4,395.68","No"
"0xa2e83e57502a89a3af7ceacc195b320f9ad7d64d","4,363.493518","No"
"0x82de6b958b0281531d47ca3d2c8383c6e40ed43d","4,326.297175","No"
"0x0d371ac9b14ee54eff24700b89041a863ae8ab61","4,216.036123","No"
"0x4b202ad61d8242831b01cecc26328b25533030f4","4,045.407541","No"
"0x33128fa08f5e0545f4714434b53bdb5e98f62474","4,036.957961","No"
"0x9f60eb98c221976f152111a06dd9c7fc4fbcb102","3,958.413696","No"
"0x910d9d89e06014e970856bdf71954f6e86d74849","3,935.559909","No"
"0xcfd564e414afe8db63584a0a3de0ab097f85e20c","3,914.9292","No"
"0x44034e2261ede365b20eb18b109ca3698c19ddc9","3,834.717327","No"
"0x0d32c795aa46a64621122822bff73cceb68fe27a","3,764.46581","No"
"0xb8477d30ba77781656903ce7bbe5431d5b256768","3,593.292646","No"
"0xf054c50a2bec31a9318a5c612e426f6f45e263be","3,592.420376","No"
"0x4b7f91ca3335dad22768ff15a732e6cf8382db4c","3,477.825513","No"
"0xd60a30fc784e364845b59c131d71df150798d66e","3,391.81796","No"
"0xa52aa5964685cd5df8a03cc9cd73bc45479a99d0","3,228.310288","No"
"0x8530ddd0508148c12595f3bce669918ebe3b1432","3,108.894856","No"
"0x775712e9d159672be99a1b39a49e2ebd5ac35ec4","3,001.002692","No"
"0xfab5fd0a6df3f2777bb78a3e775e9d00609a1711","2,996.794228","No"
"0xf7422a6f2da0cd82fd48b464023eee9b78e19e23","2,992.585214","No"
"0xf097757921a0e244cdbe3e7d9d0a1876d9cb439d","2,983.508076","No"
"0xfb911d231a1e671e68aa5f9aa540ad4305f38409","2,812.981037","No"
"0x9e7f014604574bfe5fefdfe5015563f2a2ba2b22","2,742.737388","No"
"0x05fc68f4b7714389a17128653f82d50bee98e542","2,739.825488","No"
"0xce1cd14bb37c1486aebcd9b8bc69f06091141adf","2,735.068263","No"
"0xb999df285ace945a2616f441345be57ee2e274f2","2,700","No"
"0x9186ddcf3b5243984a9a94e4dfa44f70e087048c","2,690.541884","No"
"0x6a4a85825a3dad66acac883c5a95f38b3246a3a0","2,572.941862","No"
"0x8931835a523228f799deab267df535817163a231","2,521.119143","No"
"0x45d6bd4fe5ce9361e8c9a303ade80e7435f7bb60","2,377.681246","No"
"0x396a6d7a33655c45044143cb8a812227bf279578","2,333.100956","No"
"0x7d998c668f9ea251eb3f2f46da1561b19f212a58","2,322.11549","No"
"0x1d1714a49483f4b2b71f468cf471e13eedcf760a","2,300.936545","No"
"0x6eaf4aacf63b99d75fe9316ea247efdd8f131771","2,288.451381","No"
"0x7cbff5b9e6cb68188b2df874f723deb064baa914","2,204.975909","No"
"0x5c4a7ed0908ef825b4cb8e4a7206e47312f505b9","2,185.903805","No"
"0x5eaf2a35f3bba9828eaaa8ea1d8e4b6efed42488","2,158.601787","No"
"0x594c908f9dc95b66bc5e1108773cfd8e3b3c00af","2,031.912937","No"
"0xe71f2708641fb72fb9926ddc4434bab9c6427570","1,900.196935","No"
