"HolderAddress","Balance","PendingBalanceUpdate"
"0x7f3dbc2e681fc6588b159cf297d361806f90a289","354,718.4394559119","No"
"0x804c4c527f3b278a1b328ebe239359e1c1008398","249,700.3926260102","No"
"0x8fe7261b58a691e40f7a21d38d27965e2d3afd6e","104,734.3023257154","No"
"0x9f75df4394c5a7b29fafa4e50db72eddd2d8ce22","33,505.4049312139","No"
"0x2d96ea1c11892ff1a9ac459e1a8f4f8581acb130","28,383.9004505901","No"
"0x16d941efa94295b9a5cff06d636a026b7e41e762","25,045.4186011299","No"
"0xf601a5b4204b21156f1df2800ed3dab0af0bf94a","16,500","No"
"0xd67d1084d253f1960ddc63caa63d0adb1a52e299","13,233.4666695658","No"
"0x409fa46472dd13260c67acfe6ab9b1735a9a992c","12,640.9879312841","No"
"0xa42a1206f9158c9cbd50dacb898e4ac295648be8","10,735.1638524574","No"
"0x269a65a6d524cf020e7f3f0a31059167d0898a46","10,212.3862730807","No"
"0x9ddfa3700c0b65409e6b58cb94167c54a1295ee8","9,741.4886974469","No"
"0x58ef0bac8c400cbb2429e845cbdc7f3f40f79b1f","9,093.4984776848","No"
"0xc3f7b3fb36ccc53d40c8004d267ebaaa4c2b24fa","8,532.7824056248","No"
"0x7dd0a328a7de01fb1f3549dc955d8feefe38103b","7,551.934731053","No"
"0x5aad5d30209477d6c0b5895ea2d7d566b05b57bf","7,177.2084206988","No"
"0x4b8a7655290a97da9dfa2fe24b9f362424014932","6,195.9620861895","No"
"0xb32b41625e14e55757a5d0cfcdd9768a1695c5f3","5,821.5369656986","No"
"0x0e3109261940c95ef20fa759c9a7e3709a86b2f4","5,720.5113875966","No"
"0x6f0964ff2b8b4aa2fdeadabf8402a46f0dcbdf2f","5,550.5912705084","No"
"0xec26a697c7560eeeadc7bd2f6b8b8008e78429ac","5,374.8782171236","No"
"0xaada5b9206ecbb2a00a046db3a93a09b947a7686","4,684.5484174356","No"
"0xd014b3d764f1dc9494c436795ea41b7b21869b6a","4,242.5876772538","No"
"0x50ea318f88f140b7147d95c4cda90d3930bfb942","4,210.7824866434","No"
"0x3597d5717ed738fcf5a755e104f5dc7b31e83b4f","3,459.2904613273","No"
"0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f","3,360.5365983388","No"
"0x598a8dc7ace1825b840421c054f490a5d6c2283e","3,038.6583554501","No"
"0x19d2461579f4183d16c011a3100c5e07688864a6","2,644.5154740649","No"
"0x4769672762a85e2dc2168897886eb2399d7d3af4","2,611.9127745286","No"
"0xdf5bbb7fda99c40ce3b05a817a5abe701727e37e","2,441.5097518949","No"
"0x88858e536e37a703e25098ff242ec5a1e1313d2c","2,222","No"
"0xe911b5e508d1c2899b0a08e3bbe5c4656b5e939e","2,125.6159104683","No"
"0x026871ceddeef4c5bd5b31752ae0df95d4bc1918","2,011.8419962532","No"
"0xef4d6e8462c1a2395fd0ee2905b39aa425e573ab","1,991.589983675","No"
"0x7ce15d2199b01cde1d130d519cb068155ad35d8c","1,903.0286516055","No"
"0xb6395525819a4a3d74be262d1a9d0c7adfadac00","1,899.4059860439","No"
"0x8b7fecfdcd6ae4e7f15168d58896515879d7cd5d","1,544.3412189985","No"
"0xe1143e4a52e269c1985a132248e0d7c9cf32072a","1,489.3366666668","No"
"0x7ab4d05e94cb28eb240ed9dbdf7287d138a486b8","1,383.0834543263","No"
"0xe548e932953f8ef750fcdc3fee16cb7fe082d3d5","1,292.2801651469","No"
"0x11cf1a92bd127336b33c2ed86fe13a9ee628733f","1,174.8614415406","No"
"0x0a65d9bf28a81fcb8bade1de83f671ea54033ba4","1,031.2049105531","No"
"0x5c4a7ed0908ef825b4cb8e4a7206e47312f505b9","1,009.1683061771","No"
"0xe93d6fb62bb4be720cd6fefa3d0d9df7bf36a462","1,001","No"
"0x4300e09284e3bb4d9044ddab31efaf5f3301daba","967.5968496","No"
"0x341396d458060aba2ba7ebf1aecf2aab7aea878f","858.8026332476","No"
"0xc96988e235e71bc15ce62804179efa36fa14c6b1","853.768260044","No"
"0xce86f05a3568fc973c51c3cf76850df456391f14","792.4289178331","No"
"0xd4b2b7dc9bc1c47852851f4c5dc345eaba1a5279","766.0243902236","No"
"0x324f2791ea36376570775b933cc8adda38fc28f2","536.1821646022","No"
"0x9d5fb00244bfafe69dec74ae41e6afb9b091c535","500","No"
"0x0681393452b1f07a9248c3112ac15e5e0a40d9a0","480.3250337959","No"
